ID|vendor
875|U.S. Department of Labor, Bureau of Labor Stati
876|U.S. Dept. of Education, Institute for Educat
877|U.S. Dept. of Health & Human Services
878|U.S. Federal Bureau of Investigations (FBI)
879|U.S. Federal Government Agencies
880|U.S. Government Printing Office
881|U.S. National Atmospheric and Scientific Admi
882|U.S. National Library of Medicine (N
883|U.S. Patent and Trademark Office (US
884|U.S. Pharmacopeial Convention
885|UNESCO
886|United Nations
887|Univ. of California, Genome Bioinformatics Gr
888|Universal Short Title Catalog Project hosted
889|University of California
890|University of Kansas Libraries & Rosarkhiv of
891|University of Minnesota, Minnesota Population
892|University of North Dakota
893|University of Pittsburgh
894|University of Texas Libraries
895|University of Virginia Press / Rotunda
896|Uniworld Business Publications
897|UpToDate Inc.
898|Urban Land Institute
899|USC Shoah Foundation
900|USDA National Agriculture Library
901|Vermont Safety Information Resources, Inc. (S
902|Verterbukh.org
903|Virtual Health Library
904|VirtuallyVocal.com
905|Vittorio Klostermann
906|Wall Street Journal (WSJ)
907|Wanfang Data
908|Wellcome Trust, Sanger Institute, EBI
909|Westlaw
910|WGBH
911|WHO
912|Wiley
913|William S. Hein & Co., Inc.
914|Wolters Kluwer
915|Women Writers Project
916|World Bank
917|World Bank & International Monetary Fund (IMF
918|World Health Organization (WHO)
919|Yale University Press
920|Yomiuri Shinbunsha
